"","Date","All Downtown","All Midtown","All Upper East Side","All Upper Manhattan","All Upper West Side","Alley Park","Astoria","Auburndale","Bath Beach","Battery Park City","Bay Ridge","Baychester","Bayside","Bedford Park","Bedford-Stuyvesant","Bellerose","Belmont","Bensonhurst","Bergen Beach","Boerum Hill","Borough Park","Bowne Park","Briarwood","Brighton Beach","Bronx","Bronxwood","Brooklyn","Brooklyn Heights","Brookville","Brownsville","Bushwick","Cambria Heights","Canarsie","Carroll Gardens","Castle Hill","Central Harlem","Central Park South","Central Queens","Chelsea","Chinatown","City Island","Civic Center","Clearview","Clinton Hill","Co-op City","Cobble Hill","College Point","Columbia St Waterfront District","Concourse","Coney Island","Corona","Country Club","Crotona Park East","Crown Heights","Ditmas Park","Douglaston","Downtown Brooklyn","DUMBO","Dyker Heights","East Brooklyn","East Elmhurst","East Flatbush","East Harlem","East New York","East Tremont","East Village","Eastchester","Edenwald","Elmhurst","Financial District","Flatbush","Flatiron","Flatlands","Floral Park","Flushing","Fordham","Forest Hills","Fort Greene","Fresh Meadows","Gerritsen Beach","Glen Oaks","Glendale","Gowanus","Gramercy Park","Gravesend","Greenpoint","Greenwich Village","Greenwood","Hamilton Heights","Highbridge","Hillcrest","Hollis","Howard Beach","Hunts Point","Inwood","Jackson Heights","Jamaica","Jamaica Estates","Jamaica Hills","Kensington","Kew Gardens","Kew Gardens Hills","Kingsbridge","Laconia","Laurelton","Little Italy","Little Neck","Long Island City","Longwood","Lower East Side","Manhattan","Manhattan Beach","Manhattanville","Marble Hill","Marine Park","Maspeth","Melrose","Middle Village","Midtown","Midtown East","Midtown South","Midtown West","Midwood","Mill Basin","Morningside Heights","Morris Heights","Morris Park","Morrisania","Mott Haven","New Hyde Park","Nolita","North Brooklyn","North Corona","Northeast Queens","Northwest Brooklyn","Northwest Queens","Norwood","NYC","Oakland Gardens","Ocean Parkway","Old Mill Basin","Ozone Park","Park Slope","Parkchester","Pelham Bay","Pelham Gardens","Pelham Parkway","Pomonok","Port Morris","Prospect Heights","Prospect Lefferts Gardens","Prospect Park","Prospect Park South","Queens","Queens Village","Queensboro Hill","Red Hook","Rego Park","Richmond Hill","Ridgewood","Riverdale","Rockaway All","Roosevelt Island","Rosedale","Schuylerville","Seagate","Sheepshead Bay","Soho","Soundview","South Brooklyn","South Jamaica","South Ozone Park","South Queens","South Richmond Hill","Springfield Gardens","St. Albans","Staten Island","Stuyvesant Town/PCV","Sunnyside","Sunset Park","The Rockaways","Throgs Neck","Tremont","Tribeca","University Heights","Upper East Side","Upper West Side","Utopia","Van Nest","Wakefield","Washington Heights","West Harlem","West Village","Westchester Village","Whitestone","Williamsbridge","Williamsburg","Windsor Terrace","Woodhaven","Woodlawn","Woodside","Woodstock"
"1",2010-01-31,3200,2895,2469,1825,2895,NA,1600,NA,NA,3495,1350,NA,1775,NA,1650,NA,NA,NA,NA,2600,NA,NA,NA,NA,1600,NA,2200,2350,NA,NA,1599,NA,NA,2275,NA,1950,6000,1500,3200,2900,NA,NA,NA,2085,NA,1900,NA,2000,NA,NA,1100,NA,NA,2000,1600,NA,2247,3275,NA,1700,NA,2000,1895,NA,NA,2500,NA,NA,1113,3198,NA,3895,NA,NA,1575,NA,2000,2470,NA,NA,NA,NA,NA,3100,NA,2300,3200,1775,1650,NA,NA,NA,NA,NA,1400,1250,NA,NA,NA,1800,1500,NA,1184,NA,NA,3295,NA,2325,NA,2295,2800,NA,NA,NA,NA,NA,NA,NA,3800,2695,3198,2600,1825,NA,2200,NA,NA,NA,NA,NA,3248,2500,NA,1650,2300,1800,NA,2650,NA,NA,NA,NA,2200,NA,NA,NA,NA,NA,NA,2150,1795,2100,NA,1655,NA,NA,2000,1375,NA,NA,1800,NA,2577,NA,NA,NA,1400,5200,NA,1595,NA,NA,NA,NA,NA,NA,NA,NA,1550,1500,NA,NA,NA,6500,1100,2469,2895,NA,NA,NA,1550,1795,3265,NA,NA,NA,2500,1600,NA,NA,1813,NA
"2",2010-02-28,3200,2800,2450,1800,2800,NA,1650,NA,NA,3346,1388,NA,1838,NA,1650,NA,NA,NA,NA,2700,NA,NA,1325,NA,1600,NA,2150,2300,NA,NA,1475,NA,NA,2225,NA,1950,6000,1483,3400,2900,NA,NA,NA,1950,NA,2350,NA,1950,NA,NA,1098,NA,NA,2125,1850,NA,2227,3200,NA,1750,NA,1700,1900,NA,NA,2500,NA,NA,1150,3100,1600,3750,NA,NA,1450,NA,1800,2200,NA,NA,NA,NA,1600,3000,1519,2225,3200,1750,1700,NA,NA,NA,NA,NA,1395,1250,NA,NA,NA,1775,1425,NA,1193,NA,NA,3050,NA,2500,NA,2250,2795,NA,NA,NA,NA,NA,NA,NA,3900,2625,3200,2650,1850,NA,2150,NA,NA,NA,NA,NA,2825,2475,NA,1600,2300,1817,NA,2600,NA,NA,NA,NA,2150,NA,NA,NA,NA,NA,NA,2150,NA,2100,NA,1675,NA,NA,NA,1400,NA,NA,1750,NA,2555,NA,NA,NA,1225,5288,NA,1550,NA,NA,NA,NA,NA,NA,NA,NA,1475,1500,NA,NA,NA,6773,1100,2450,2800,NA,NA,NA,1545,NA,3395,NA,NA,NA,2500,1650,NA,NA,NA,NA
"3",2010-03-31,3025,2800,2400,1795,2750,NA,1620,NA,NA,3268,1350,NA,1888,NA,1600,NA,NA,NA,NA,2600,NA,NA,NA,NA,1508,NA,2150,2400,NA,NA,1500,NA,NA,2275,NA,1893,5950,1500,3245,2550,NA,NA,NA,1975,NA,2225,NA,NA,NA,NA,1095,NA,NA,2150,1850,NA,2191,2800,NA,1650,NA,2100,1895,NA,NA,2400,NA,NA,1188,3015,NA,3550,NA,NA,1400,NA,1700,2200,NA,NA,NA,NA,NA,2995,1400,2350,2979,1700,1688,1125,NA,NA,NA,NA,1395,1425,NA,NA,NA,1775,1463,NA,1300,NA,NA,3000,NA,2525,NA,2295,2728,NA,NA,NA,NA,NA,NA,NA,3925,2650,3250,2650,1675,NA,2100,NA,NA,NA,NA,NA,3195,2484,NA,1625,2290,1944,NA,2600,NA,NA,NA,NA,2200,NA,NA,NA,NA,NA,NA,2000,NA,2100,NA,1700,NA,NA,NA,1425,NA,NA,1675,NA,2404,NA,NA,NA,1200,5275,NA,1475,NA,NA,NA,NA,NA,NA,NA,NA,1500,1400,NA,NA,NA,6500,NA,2400,2750,NA,NA,NA,1597,NA,3113,NA,NA,NA,2500,1650,NA,NA,1398,NA
"4",2010-04-30,3100,2850,2500,1800,2800,NA,1600,NA,NA,3295,1350,NA,1838,NA,1650,NA,NA,NA,NA,2500,NA,NA,NA,NA,1508,NA,2150,2200,NA,NA,1875,NA,NA,2175,NA,1863,6500,1500,3200,2200,NA,NA,NA,2000,NA,2340,NA,NA,1373,NA,1095,NA,NA,2050,1500,NA,2250,2875,NA,1750,NA,2400,1975,NA,NA,2500,NA,NA,1150,3000,1595,3695,NA,NA,1350,NA,1663,2200,NA,NA,NA,NA,NA,3100,1388,2300,3000,1700,1800,NA,NA,NA,NA,NA,1395,NA,NA,NA,NA,1975,1438,NA,1300,NA,NA,2999,NA,2600,NA,2250,2800,NA,NA,NA,NA,NA,NA,NA,4173,2700,3340,2650,1725,NA,2000,NA,NA,NA,NA,NA,3273,2500,NA,1450,2300,1950,NA,2650,NA,NA,NA,NA,2200,NA,NA,NA,NA,NA,NA,2000,1700,2185,NA,1695,NA,NA,NA,1300,NA,NA,1800,NA,2570,NA,NA,NA,1250,4950,NA,1450,NA,NA,NA,NA,NA,NA,NA,NA,1550,1400,NA,NA,NA,6400,NA,2500,2800,NA,NA,NA,1600,NA,3250,NA,NA,NA,2600,1600,NA,NA,2000,NA
"5",2010-05-31,3100,2900,2550,1823,2798,NA,1700,NA,NA,3100,1350,NA,NA,NA,1650,NA,NA,NA,NA,2500,NA,NA,NA,NA,1600,NA,2200,2400,NA,NA,1950,NA,NA,2200,NA,1900,6200,1313,3200,2200,NA,NA,NA,2100,NA,2400,NA,2550,NA,NA,1150,NA,NA,1900,NA,NA,2400,2800,1200,1750,NA,NA,1998,NA,NA,2595,NA,NA,NA,3200,NA,3893,NA,NA,1300,NA,1550,2225,NA,NA,NA,NA,1800,2995,NA,2300,3000,1800,1695,NA,NA,NA,NA,NA,1350,NA,NA,NA,NA,NA,1425,NA,1200,NA,NA,2885,NA,2700,NA,2495,2800,NA,NA,NA,NA,NA,NA,NA,4000,2700,3400,2790,NA,NA,2050,NA,NA,NA,1600,NA,3325,2550,NA,1400,2400,1950,NA,2695,NA,NA,NA,NA,2450,NA,NA,NA,NA,NA,NA,2000,1725,2200,NA,1550,NA,NA,NA,1400,NA,NA,1900,NA,2585,NA,NA,NA,1750,4197,NA,1500,NA,NA,NA,NA,NA,NA,NA,NA,1450,1425,NA,NA,NA,6500,NA,2550,2798,NA,NA,NA,1650,1675,3073,NA,NA,NA,2625,1800,NA,NA,1475,NA
"6",2010-06-30,3200,2950,2550,1850,2795,NA,1700,NA,NA,3395,1350,NA,NA,NA,1593,NA,NA,NA,NA,2463,NA,NA,NA,NA,1500,NA,2250,2250,NA,NA,1525,NA,NA,2200,NA,1900,5800,1350,3395,2248,NA,NA,NA,1900,NA,2340,NA,2500,NA,NA,1150,NA,NA,1800,NA,NA,2472,2950,NA,1600,NA,NA,2095,NA,NA,2595,NA,NA,1050,3244,1450,3850,NA,NA,NA,NA,1588,2373,NA,NA,NA,NA,NA,2950,NA,2250,3000,1800,1750,NA,NA,NA,NA,NA,1349,1363,NA,NA,NA,NA,1350,NA,1200,NA,NA,2600,NA,2725,NA,2400,2825,NA,NA,NA,NA,NA,NA,NA,4000,2700,3375,2800,1725,NA,2178,NA,NA,NA,NA,NA,3350,2625,NA,1350,2400,2000,NA,2700,NA,NA,NA,NA,2485,NA,NA,NA,NA,NA,NA,2300,1200,2300,NA,1550,NA,NA,NA,1718,NA,NA,2000,NA,2500,NA,NA,NA,1725,4000,NA,1500,NA,NA,NA,NA,NA,NA,NA,2903,1400,1450,NA,NA,NA,6500,NA,2550,2795,NA,NA,NA,1653,NA,3138,NA,NA,NA,2700,1825,NA,NA,1488,NA
"7",2010-07-31,3195,3000,2595,1875,2800,NA,1600,NA,NA,3200,1300,NA,NA,NA,1460,NA,NA,NA,NA,2475,NA,NA,NA,NA,1529,NA,2300,2600,NA,NA,1500,NA,NA,2250,NA,1850,5575,1350,3400,2500,NA,NA,NA,1875,NA,2450,NA,2500,NA,NA,1150,NA,NA,1500,2100,NA,2550,3400,NA,1500,NA,2350,2195,NA,NA,2600,NA,NA,NA,3107,NA,3900,NA,NA,1300,NA,1700,2400,NA,NA,NA,NA,NA,2900,NA,2400,3000,2000,1795,NA,NA,NA,NA,NA,1363,1375,NA,NA,NA,NA,1438,NA,NA,NA,NA,3700,NA,2678,NA,2400,2880,NA,NA,NA,NA,NA,NA,NA,3998,2800,3400,3000,1650,NA,2178,NA,NA,NA,NA,NA,2900,2700,NA,1400,2475,2000,NA,2750,NA,NA,NA,NA,2400,NA,NA,NA,NA,NA,NA,2300,NA,2350,NA,1550,NA,NA,NA,1635,NA,NA,2200,NA,2600,NA,NA,NA,NA,4000,NA,1500,NA,NA,NA,NA,NA,NA,NA,NA,1400,1400,NA,NA,NA,6000,NA,2595,2800,NA,NA,NA,1678,NA,3195,NA,NA,NA,2775,1995,NA,NA,NA,NA
"8",2010-08-31,3200,3000,2500,1850,2895,NA,1600,NA,NA,3225,1300,NA,NA,NA,1450,NA,NA,NA,NA,2500,NA,NA,NA,NA,1600,NA,2300,2900,NA,NA,1500,NA,NA,2200,NA,1800,6100,1350,3450,2700,NA,NA,NA,2075,NA,2525,NA,2450,NA,NA,1150,NA,NA,1500,3625,NA,2569,3825,1300,1460,NA,2025,2185,NA,NA,2595,NA,NA,NA,3100,1165,3999,NA,NA,NA,NA,1750,2400,NA,NA,NA,NA,NA,3100,NA,2500,3000,2400,1750,NA,NA,NA,NA,NA,1450,NA,NA,NA,NA,1700,1450,NA,NA,NA,NA,3795,NA,2680,NA,2500,2895,NA,NA,NA,NA,NA,NA,NA,3995,2800,3380,2895,1525,NA,1995,NA,NA,NA,NA,NA,3395,2800,NA,1550,2500,2030,NA,2750,NA,NA,NA,NA,2400,NA,NA,NA,NA,NA,NA,2100,NA,2300,NA,1550,NA,NA,NA,1568,NA,NA,2525,NA,2646,NA,NA,NA,1300,4000,NA,1450,NA,NA,NA,NA,NA,NA,NA,NA,1460,1425,NA,NA,NA,4950,NA,2500,2895,NA,NA,NA,1750,NA,2963,NA,NA,NA,2830,2098,NA,NA,NA,NA
"9",2010-09-30,3400,3109,2595,1895,2995,NA,1600,NA,NA,3360,1300,NA,NA,NA,1500,NA,NA,NA,NA,2850,NA,NA,NA,NA,1600,NA,2400,3200,NA,NA,1500,NA,NA,2250,NA,1850,6500,1350,3625,2875,NA,NA,NA,2300,NA,2600,NA,2700,NA,NA,1150,NA,NA,1500,NA,NA,2530,4200,NA,1500,NA,2350,2198,NA,NA,2695,NA,NA,NA,3025,1180,4100,NA,NA,NA,NA,1695,2400,NA,NA,NA,NA,NA,3200,NA,2575,3650,2500,1900,NA,NA,NA,NA,NA,1595,NA,NA,NA,NA,1675,NA,1798,NA,NA,NA,5200,NA,2758,NA,2598,2995,NA,NA,NA,NA,NA,NA,NA,4000,2800,3385,2953,NA,NA,1995,NA,NA,NA,NA,NA,3348,2850,NA,1550,2600,2200,NA,2830,NA,NA,NA,NA,2600,NA,NA,NA,NA,NA,NA,2050,1413,2400,NA,1563,NA,NA,2200,1350,NA,NA,2200,NA,2600,NA,NA,NA,NA,5850,NA,1500,NA,NA,NA,NA,NA,NA,NA,NA,1475,1375,NA,NA,NA,5500,NA,2595,2995,NA,NA,NA,1713,NA,3300,NA,NA,NA,2900,2100,NA,NA,NA,NA
"10",2010-10-31,3495,3134,2550,1875,3000,NA,1700,NA,NA,3415,1400,NA,NA,NA,1650,NA,NA,NA,NA,2725,NA,NA,NA,NA,1500,NA,2395,3400,NA,NA,1500,NA,NA,2250,NA,1850,6500,1350,3600,2300,NA,NA,NA,2269,NA,2600,NA,2650,1425,NA,1150,NA,NA,1525,NA,NA,2505,4150,1295,1550,NA,2200,2180,NA,NA,2795,NA,NA,NA,3250,1165,3995,NA,NA,NA,NA,1725,2425,NA,NA,NA,NA,2600,3200,1325,2700,3800,2125,1875,NA,NA,NA,NA,NA,1595,NA,NA,NA,NA,1600,1399,NA,NA,NA,NA,4750,NA,2735,NA,2500,3000,NA,NA,NA,NA,NA,NA,NA,3900,2800,3325,3000,1300,NA,2350,NA,NA,NA,NA,NA,3500,2900,NA,1600,2600,2313,NA,2850,NA,NA,NA,NA,2500,NA,NA,NA,NA,NA,NA,2500,NA,2400,NA,1600,NA,NA,2150,1375,NA,NA,1925,1650,2975,NA,NA,NA,NA,7000,NA,1400,NA,NA,NA,NA,NA,NA,NA,NA,1460,1488,1650,NA,NA,5650,NA,2550,3000,NA,NA,NA,1750,NA,3300,NA,NA,NA,2950,2000,NA,NA,NA,NA
