"","Date","All Downtown","All Midtown","All Upper East Side","All Upper Manhattan","All Upper West Side","Alley Park","Astoria","Auburndale","Bath Beach","Battery Park City","Bay Ridge","Baychester","Bayside","Bedford Park","Bedford-Stuyvesant","Bellerose","Belmont","Bensonhurst","Bergen Beach","Boerum Hill","Borough Park","Bowne Park","Briarwood","Brighton Beach","Bronx","Bronxwood","Brooklyn","Brooklyn Heights","Brookville","Brownsville","Bushwick","Cambria Heights","Canarsie","Carroll Gardens","Castle Hill","Central Harlem","Central Park South","Central Queens","Chelsea","Chinatown","City Island","Civic Center","Clearview","Clinton Hill","Co-op City","Cobble Hill","College Point","Columbia St Waterfront District","Concourse","Coney Island","Corona","Country Club","Crotona Park East","Crown Heights","Ditmas Park","Douglaston","Downtown Brooklyn","DUMBO","Dyker Heights","East Brooklyn","East Elmhurst","East Flatbush","East Harlem","East New York","East Tremont","East Village","Eastchester","Edenwald","Elmhurst","Financial District","Flatbush","Flatiron","Flatlands","Floral Park","Flushing","Fordham","Forest Hills","Fort Greene","Fresh Meadows","Gerritsen Beach","Glen Oaks","Glendale","Gowanus","Gramercy Park","Gravesend","Greenpoint","Greenwich Village","Greenwood","Hamilton Heights","Highbridge","Hillcrest","Hollis","Howard Beach","Hunts Point","Inwood","Jackson Heights","Jamaica","Jamaica Estates","Jamaica Hills","Kensington","Kew Gardens","Kew Gardens Hills","Kingsbridge","Laconia","Laurelton","Little Italy","Little Neck","Long Island City","Longwood","Lower East Side","Manhattan","Manhattan Beach","Manhattanville","Marble Hill","Marine Park","Maspeth","Melrose","Middle Village","Midtown","Midtown East","Midtown South","Midtown West","Midwood","Mill Basin","Morningside Heights","Morris Heights","Morris Park","Morrisania","Mott Haven","New Hyde Park","Nolita","North Brooklyn","North Corona","Northeast Queens","Northwest Brooklyn","Northwest Queens","Norwood","NYC","Oakland Gardens","Ocean Parkway","Old Mill Basin","Ozone Park","Park Slope","Parkchester","Pelham Bay","Pelham Gardens","Pelham Parkway","Pomonok","Port Morris","Prospect Heights","Prospect Lefferts Gardens","Prospect Park","Prospect Park South","Queens","Queens Village","Queensboro Hill","Red Hook","Rego Park","Richmond Hill","Ridgewood","Riverdale","Rockaway All","Roosevelt Island","Rosedale","Schuylerville","Seagate","Sheepshead Bay","Soho","Soundview","South Brooklyn","South Jamaica","South Ozone Park","South Queens","South Richmond Hill","Springfield Gardens","St. Albans","Staten Island","Stuyvesant Town/PCV","Sunnyside","Sunset Park","The Rockaways","Throgs Neck","Tremont","Tribeca","University Heights","Upper East Side","Upper West Side","Utopia","Van Nest","Wakefield","Washington Heights","West Harlem","West Village","Westchester Village","Whitestone","Williamsbridge","Williamsburg","Windsor Terrace","Woodhaven","Woodlawn","Woodside","Woodstock"
"1",2010-01-31,2995,2800,2350,1500,2600,NA,1395,NA,NA,2875,1350,NA,NA,NA,1600,NA,NA,NA,NA,2000,NA,NA,NA,NA,1350,NA,1950,2000,NA,NA,NA,NA,NA,1900,NA,1600,5500,1363,3150,NA,NA,NA,NA,1690,NA,1900,NA,NA,NA,NA,1113,NA,NA,1795,NA,NA,2015,2900,NA,1500,NA,NA,1650,NA,NA,2395,NA,NA,NA,3200,NA,3485,NA,NA,NA,NA,1550,2100,NA,NA,NA,NA,NA,3125,NA,2100,3150,NA,1400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2800,NA,2123,NA,1995,2675,NA,NA,NA,NA,NA,NA,NA,3250,2675,2900,2650,NA,NA,1695,NA,NA,NA,NA,NA,2650,2300,NA,1325,1988,1550,NA,2500,NA,NA,NA,NA,1850,NA,NA,NA,NA,NA,NA,1650,NA,1775,NA,1405,NA,NA,NA,1363,NA,NA,1500,NA,NA,NA,NA,NA,NA,3000,NA,1350,NA,NA,NA,NA,NA,NA,NA,NA,1350,1200,NA,NA,NA,3960,NA,2350,2600,NA,NA,NA,1400,NA,3298,NA,NA,NA,2383,NA,NA,NA,NA,NA
"2",2010-02-28,2950,2800,2300,1516,2550,NA,1450,NA,NA,2800,1350,NA,NA,NA,1500,NA,NA,NA,NA,1950,NA,NA,NA,NA,1400,NA,1938,1950,NA,NA,NA,NA,NA,2025,NA,1650,5500,1363,3270,NA,NA,NA,NA,1683,NA,1900,NA,NA,NA,NA,NA,NA,NA,1900,NA,NA,2040,2800,NA,1500,NA,NA,1673,NA,NA,2300,NA,NA,NA,3200,NA,3485,NA,NA,NA,NA,1550,2025,NA,NA,NA,NA,NA,3000,NA,2100,3200,NA,1450,NA,NA,NA,NA,NA,1235,NA,NA,NA,NA,1638,NA,NA,NA,NA,NA,2548,NA,2112,NA,1975,2650,NA,NA,NA,NA,NA,NA,NA,3425,2675,2900,2690,NA,NA,1800,NA,NA,NA,NA,NA,2595,2300,NA,1350,1975,1595,NA,2500,NA,NA,NA,NA,1850,NA,NA,NA,NA,NA,NA,1600,NA,1775,NA,1450,NA,NA,NA,1388,NA,NA,1500,NA,2185,NA,NA,NA,1175,3000,NA,1300,NA,NA,NA,NA,NA,NA,NA,NA,1350,1200,NA,NA,NA,4000,NA,2300,2550,NA,NA,NA,1395,NA,3100,NA,NA,NA,2350,NA,NA,NA,NA,NA
"3",2010-03-31,2900,2850,2350,1545,2495,NA,1450,NA,NA,2900,1350,NA,NA,NA,1350,NA,NA,NA,NA,1975,NA,NA,NA,NA,1400,NA,1897,1850,NA,NA,1500,NA,NA,2000,NA,1600,5300,1363,3050,NA,NA,NA,NA,1750,NA,1900,NA,NA,NA,NA,NA,NA,NA,1975,NA,NA,2082,2850,NA,1450,NA,NA,1650,NA,NA,2150,NA,NA,NA,3369,NA,3450,NA,NA,NA,NA,1550,2000,NA,NA,NA,NA,NA,3000,NA,2100,2998,NA,1500,NA,NA,NA,NA,NA,1253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2323,NA,2225,NA,1900,2614,NA,NA,NA,NA,NA,NA,NA,3475,2700,3000,2650,NA,NA,2000,NA,NA,NA,NA,NA,2495,2300,NA,1375,1975,1603,NA,2500,NA,NA,NA,NA,1800,NA,NA,NA,NA,NA,NA,1625,NA,1750,NA,1500,NA,NA,NA,NA,NA,NA,1500,NA,2162,NA,NA,NA,NA,3000,NA,1300,NA,NA,NA,NA,NA,NA,NA,NA,1350,1175,NA,NA,NA,3900,NA,2350,2495,NA,NA,NA,1395,NA,3000,NA,NA,NA,2304,NA,NA,NA,NA,NA
"4",2010-04-30,2975,2895,2470,1516,2500,NA,1395,NA,NA,2873,1325,NA,NA,NA,1375,NA,NA,NA,NA,2050,NA,NA,NA,NA,1375,NA,1941,1863,NA,NA,2000,NA,NA,1825,NA,1575,5950,1375,2993,NA,NA,NA,NA,1725,NA,2075,NA,NA,NA,NA,NA,NA,NA,1900,NA,NA,2143,2750,NA,1625,NA,NA,1600,NA,NA,2400,NA,NA,NA,3350,NA,3525,NA,NA,NA,NA,1550,2000,NA,NA,NA,NA,NA,3200,NA,1995,3000,NA,1498,NA,NA,NA,NA,NA,1275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2195,NA,2301,NA,1850,2700,NA,NA,NA,NA,NA,NA,NA,3750,2795,3250,2687,NA,NA,1998,NA,NA,NA,NA,NA,2650,2350,NA,1375,2000,1650,NA,2595,NA,NA,NA,NA,1850,NA,NA,NA,NA,NA,NA,1773,NA,1800,NA,1500,NA,NA,NA,1300,NA,NA,1450,NA,2300,NA,NA,NA,NA,3100,NA,1300,NA,NA,NA,NA,NA,NA,NA,NA,1399,1188,NA,NA,NA,3900,NA,2470,2500,NA,NA,NA,1397,NA,3048,NA,NA,NA,2450,NA,NA,NA,NA,NA
"5",2010-05-31,2995,2900,2500,1550,2500,NA,1400,NA,NA,2800,1300,NA,NA,NA,1400,NA,NA,NA,NA,2050,NA,NA,NA,NA,1400,NA,2000,2200,NA,NA,2050,NA,NA,2000,NA,1550,5000,1150,3020,NA,NA,NA,NA,1800,NA,2225,NA,NA,NA,NA,1150,NA,NA,1763,NA,NA,2370,2700,NA,1500,NA,NA,1850,NA,NA,2500,NA,NA,NA,3485,NA,3595,NA,NA,NA,NA,1450,2000,NA,NA,NA,NA,NA,3250,NA,2125,3000,NA,1495,NA,NA,NA,NA,NA,1275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2200,NA,2600,NA,2050,2700,NA,NA,NA,NA,NA,NA,NA,3600,2800,3330,2792,NA,NA,2025,NA,NA,NA,NA,NA,2500,2358,NA,1350,2100,1754,NA,2600,NA,NA,NA,NA,1900,NA,NA,NA,NA,NA,NA,1950,NA,1895,NA,1378,NA,NA,NA,1350,NA,NA,1475,NA,2169,NA,NA,NA,NA,2900,NA,1300,NA,NA,NA,NA,NA,NA,NA,NA,1400,1200,NA,NA,NA,3825,NA,2500,2500,NA,NA,NA,1355,NA,3000,NA,NA,NA,2450,NA,NA,NA,NA,NA
"6",2010-06-30,3000,2990,2500,1575,2600,NA,1550,NA,NA,2900,1300,NA,NA,NA,1350,NA,NA,NA,NA,2360,NA,NA,NA,NA,1300,NA,2000,2200,NA,NA,1500,NA,NA,2075,NA,1516,5500,1150,3000,NA,NA,NA,NA,1675,NA,2200,NA,NA,NA,NA,1150,NA,NA,1450,NA,NA,2418,2350,NA,1400,NA,NA,1995,NA,NA,2250,NA,NA,NA,3373,NA,3650,NA,NA,NA,NA,1500,1975,NA,NA,NA,NA,NA,3100,NA,1850,3250,NA,1575,NA,NA,NA,NA,NA,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2200,NA,2655,NA,2100,2750,NA,NA,NA,NA,NA,NA,NA,3600,2800,3250,2825,NA,NA,2095,NA,NA,NA,NA,NA,2600,2500,NA,1350,2200,2000,NA,2600,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,1925,NA,1875,NA,1375,NA,NA,NA,NA,NA,NA,1500,NA,2169,NA,NA,NA,NA,3048,NA,1300,NA,NA,NA,NA,NA,NA,NA,NA,1375,NA,NA,NA,NA,3695,NA,2500,2600,NA,NA,NA,1433,NA,3095,NA,NA,NA,2585,NA,NA,NA,NA,NA
"7",2010-07-31,3000,3000,2500,1550,2600,NA,1475,NA,NA,2950,1300,NA,NA,NA,1300,NA,NA,NA,NA,2355,NA,NA,NA,NA,1200,NA,2050,2398,NA,NA,1500,NA,NA,2100,NA,1500,5395,1150,3000,NA,NA,NA,NA,1700,NA,2370,NA,NA,NA,NA,1150,NA,NA,1400,NA,NA,2420,3000,NA,1400,NA,NA,1838,NA,NA,2250,NA,NA,NA,3300,NA,3795,NA,NA,NA,NA,1600,2050,NA,NA,NA,NA,NA,3225,NA,1900,3000,NA,1450,NA,NA,NA,NA,NA,1299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2195,NA,2640,NA,2100,2800,NA,NA,NA,NA,NA,NA,NA,3500,2850,3300,3000,NA,NA,2100,NA,NA,NA,NA,NA,2625,2500,NA,1350,2250,1823,NA,2675,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,1850,NA,1900,NA,1400,NA,NA,NA,NA,NA,NA,1450,NA,2169,NA,NA,NA,NA,3200,NA,1250,NA,NA,NA,NA,NA,NA,NA,NA,1400,NA,NA,NA,NA,3695,NA,2500,2600,NA,NA,NA,1495,NA,3288,NA,NA,NA,2558,1800,NA,NA,NA,NA
"8",2010-08-31,3000,3034,2490,1550,2650,NA,1450,NA,NA,2975,1300,NA,NA,NA,1350,NA,NA,NA,NA,2355,NA,NA,NA,NA,1175,NA,1995,2325,NA,NA,NA,NA,NA,2025,NA,1500,5500,1150,3150,NA,NA,NA,NA,1842,NA,2390,NA,NA,NA,NA,1150,NA,NA,1300,NA,NA,2500,3100,NA,1368,NA,NA,2064,NA,NA,2270,NA,NA,NA,3300,NA,3500,NA,NA,NA,NA,1625,2095,NA,NA,NA,NA,NA,3250,NA,NA,3000,NA,1398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2195,NA,2633,NA,2050,2800,NA,NA,NA,NA,NA,NA,NA,3500,2900,3300,2950,NA,NA,1888,NA,NA,NA,NA,NA,2795,2500,NA,1375,2250,1846,NA,2695,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,1800,NA,1850,NA,1400,NA,NA,NA,NA,NA,NA,NA,NA,2300,NA,NA,NA,NA,2950,NA,1225,NA,NA,NA,NA,NA,NA,NA,NA,1400,NA,NA,NA,NA,3595,NA,2490,2650,NA,NA,NA,1495,NA,3000,NA,NA,NA,2500,1800,NA,NA,NA,NA
"9",2010-09-30,3200,3100,2500,1600,2750,NA,1500,NA,NA,3000,1300,NA,NA,NA,1413,NA,NA,NA,NA,2200,NA,NA,NA,NA,1250,NA,2050,2500,NA,NA,1500,NA,NA,2100,NA,1500,6500,1150,3468,2000,NA,NA,NA,1895,NA,2385,NA,NA,NA,NA,1150,NA,NA,1350,NA,NA,2530,3150,NA,1400,NA,NA,2165,NA,NA,2300,NA,NA,NA,3165,1125,3500,NA,NA,NA,NA,1550,2050,NA,NA,NA,NA,NA,3300,NA,2275,3595,NA,1575,NA,NA,NA,NA,NA,1548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4400,NA,2656,NA,2200,2889,NA,NA,NA,NA,NA,NA,NA,3500,2900,3250,2983,NA,NA,1810,NA,NA,NA,NA,NA,2825,2500,NA,1338,2365,2136,NA,2726,NA,NA,NA,NA,2200,NA,NA,NA,NA,NA,NA,1800,NA,2000,NA,1400,NA,NA,NA,NA,NA,NA,NA,NA,2308,NA,NA,NA,NA,3425,NA,1200,NA,NA,NA,NA,NA,NA,NA,NA,1450,NA,NA,NA,NA,3573,NA,2500,2750,NA,NA,NA,1425,NA,3250,NA,NA,NA,2550,NA,NA,NA,NA,NA
"10",2010-10-31,3200,3021,2500,1595,2800,NA,1600,NA,NA,3075,1300,NA,NA,NA,1500,NA,NA,NA,NA,2200,NA,NA,NA,NA,1275,NA,2035,2250,NA,NA,NA,NA,NA,2150,NA,1550,6500,1150,3300,1900,NA,NA,NA,1850,NA,NA,NA,NA,NA,NA,1150,NA,NA,1400,NA,NA,2505,3000,NA,1500,NA,NA,2000,NA,NA,2500,NA,NA,NA,3230,NA,3500,NA,NA,NA,NA,1519,2275,NA,NA,NA,NA,NA,3300,NA,2500,3700,NA,1588,NA,NA,NA,NA,NA,1450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3995,NA,2650,NA,2300,2853,NA,NA,NA,NA,NA,NA,NA,3500,2850,3220,3000,NA,NA,NA,NA,NA,NA,NA,NA,2900,2550,NA,1338,2300,2400,NA,2700,NA,NA,NA,NA,2300,NA,NA,NA,NA,NA,NA,1975,NA,2100,NA,1400,NA,NA,1450,1350,NA,NA,1475,NA,2325,NA,NA,NA,NA,3000,NA,1295,NA,NA,NA,NA,NA,NA,NA,NA,1400,NA,NA,NA,NA,4000,NA,2500,2800,NA,NA,NA,1468,NA,2973,NA,NA,NA,2558,1700,NA,NA,NA,NA
