"","Date","All Downtown","All Midtown","All Upper East Side","All Upper Manhattan","All Upper West Side","Alley Park","Astoria","Auburndale","Bath Beach","Battery Park City","Bay Ridge","Baychester","Bayside","Bedford Park","Bedford-Stuyvesant","Bellerose","Belmont","Bensonhurst","Bergen Beach","Boerum Hill","Borough Park","Bowne Park","Briarwood","Brighton Beach","Bronx","Bronxwood","Brooklyn","Brooklyn Heights","Brookville","Brownsville","Bushwick","Cambria Heights","Canarsie","Carroll Gardens","Castle Hill","Central Harlem","Central Park South","Central Queens","Chelsea","Chinatown","City Island","Civic Center","Clearview","Clinton Hill","Co-op City","Cobble Hill","College Point","Columbia St Waterfront District","Concourse","Coney Island","Corona","Country Club","Crotona Park East","Crown Heights","Ditmas Park","Douglaston","Downtown Brooklyn","DUMBO","Dyker Heights","East Brooklyn","East Elmhurst","East Flatbush","East Harlem","East New York","East Tremont","East Village","Eastchester","Edenwald","Elmhurst","Financial District","Flatbush","Flatiron","Flatlands","Floral Park","Flushing","Fordham","Forest Hills","Fort Greene","Fresh Meadows","Gerritsen Beach","Glen Oaks","Glendale","Gowanus","Gramercy Park","Gravesend","Greenpoint","Greenwich Village","Greenwood","Hamilton Heights","Highbridge","Hillcrest","Hollis","Howard Beach","Hunts Point","Inwood","Jackson Heights","Jamaica","Jamaica Estates","Jamaica Hills","Kensington","Kew Gardens","Kew Gardens Hills","Kingsbridge","Laconia","Laurelton","Little Italy","Little Neck","Long Island City","Longwood","Lower East Side","Manhattan","Manhattan Beach","Manhattanville","Marble Hill","Marine Park","Maspeth","Melrose","Middle Village","Midtown","Midtown East","Midtown South","Midtown West","Midwood","Mill Basin","Morningside Heights","Morris Heights","Morris Park","Morrisania","Mott Haven","New Hyde Park","Nolita","North Brooklyn","North Corona","Northeast Queens","Northwest Brooklyn","Northwest Queens","Norwood","NYC","Oakland Gardens","Ocean Parkway","Old Mill Basin","Ozone Park","Park Slope","Parkchester","Pelham Bay","Pelham Gardens","Pelham Parkway","Pomonok","Port Morris","Prospect Heights","Prospect Lefferts Gardens","Prospect Park","Prospect Park South","Queens","Queens Village","Queensboro Hill","Red Hook","Rego Park","Richmond Hill","Ridgewood","Riverdale","Rockaway All","Roosevelt Island","Rosedale","Schuylerville","Seagate","Sheepshead Bay","Soho","Soundview","South Brooklyn","South Jamaica","South Ozone Park","South Queens","South Richmond Hill","Springfield Gardens","St. Albans","Staten Island","Stuyvesant Town/PCV","Sunnyside","Sunset Park","The Rockaways","Throgs Neck","Tremont","Tribeca","University Heights","Upper East Side","Upper West Side","Utopia","Van Nest","Wakefield","Washington Heights","West Harlem","West Village","Westchester Village","Whitestone","Williamsbridge","Williamsburg","Windsor Terrace","Woodhaven","Woodlawn","Woodside","Woodstock"
"1",2010-01-31,6700,7948,8950,2700,7000,NA,2000,NA,NA,7895,NA,NA,NA,NA,1800,NA,NA,NA,NA,NA,NA,NA,NA,NA,2350,NA,2900,NA,NA,NA,NA,NA,NA,3848,NA,3250,NA,2600,8500,NA,NA,NA,NA,2950,NA,NA,NA,NA,NA,NA,NA,NA,NA,2300,NA,NA,NA,NA,NA,2050,NA,NA,2750,NA,NA,3650,NA,NA,NA,6000,NA,10000,NA,NA,1800,NA,3300,3475,NA,NA,NA,NA,NA,4445,NA,3164,11500,NA,2548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5225,NA,NA,NA,3500,6500,NA,NA,NA,NA,NA,NA,NA,27500,8245,NA,4625,NA,NA,2850,NA,NA,NA,NA,NA,NA,3750,NA,1875,3600,2225,NA,5400,NA,NA,NA,NA,3400,NA,NA,NA,NA,NA,NA,NA,NA,3200,NA,2111,NA,NA,NA,NA,NA,NA,2500,NA,NA,NA,NA,NA,NA,10000,NA,2150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11750,NA,8950,7000,NA,NA,NA,2300,NA,4300,NA,NA,NA,4100,NA,NA,NA,NA,NA
"2",2010-02-28,6500,8000,9000,2673,7000,NA,2150,NA,NA,8700,NA,NA,NA,NA,1800,NA,NA,NA,NA,NA,NA,NA,NA,NA,2200,NA,3000,NA,NA,NA,NA,NA,NA,3500,NA,3250,NA,2600,10725,NA,NA,NA,NA,4300,NA,NA,NA,NA,NA,NA,NA,NA,NA,2350,NA,NA,NA,NA,NA,2200,NA,NA,2690,NA,NA,3650,NA,NA,NA,5900,NA,10000,NA,NA,NA,NA,3300,3375,NA,NA,NA,NA,NA,4745,NA,3300,17000,NA,2300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4250,NA,NA,NA,3300,6500,NA,NA,NA,NA,NA,NA,NA,22450,8195,8500,5425,NA,NA,2595,NA,NA,NA,NA,NA,NA,3750,NA,1950,3600,2300,NA,5300,NA,NA,NA,NA,3825,NA,NA,NA,NA,NA,NA,NA,NA,3400,NA,2275,NA,NA,NA,NA,NA,NA,2500,NA,3925,NA,NA,NA,NA,14225,NA,2100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11500,NA,9000,7000,NA,NA,NA,2350,NA,4300,NA,NA,NA,4250,NA,NA,NA,NA,NA
"3",2010-03-31,6500,6900,9900,2600,7000,NA,2100,NA,NA,8500,NA,NA,NA,NA,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,2038,NA,3000,6250,NA,NA,NA,NA,NA,NA,NA,2950,NA,2600,9750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2450,NA,NA,NA,NA,NA,2300,NA,NA,2593,NA,NA,4000,NA,NA,NA,5995,NA,8500,NA,NA,NA,NA,3350,3800,NA,NA,NA,NA,NA,4745,NA,2900,10000,NA,2548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600,NA,NA,NA,3250,6300,NA,NA,NA,NA,NA,NA,NA,22450,7350,6500,4400,NA,NA,2595,NA,NA,NA,NA,NA,NA,3570,NA,1950,4300,2300,NA,5150,NA,NA,NA,NA,3200,NA,NA,NA,NA,NA,NA,3150,NA,3200,NA,2275,NA,NA,NA,NA,NA,NA,2450,NA,3925,NA,NA,NA,NA,14225,NA,2200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12500,NA,9900,7000,NA,NA,NA,2350,NA,5900,NA,NA,NA,5224,NA,NA,NA,NA,NA
"4",2010-04-30,6798,5995,8400,2795,7950,NA,2050,NA,NA,9500,NA,NA,NA,NA,2100,NA,NA,NA,NA,NA,NA,NA,NA,NA,2150,NA,3017,NA,NA,NA,NA,NA,NA,NA,NA,3100,NA,2100,8900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2500,NA,NA,NA,NA,NA,2400,NA,NA,2873,NA,NA,3625,NA,NA,NA,5998,NA,12000,NA,NA,NA,NA,NA,3075,NA,NA,NA,NA,NA,4400,NA,2800,9500,NA,2961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3498,6500,NA,NA,NA,NA,NA,NA,NA,10575,6250,3500,3850,NA,NA,2423,NA,NA,NA,NA,NA,NA,3500,NA,2000,4250,2275,NA,5500,NA,NA,NA,NA,3400,NA,NA,NA,NA,NA,NA,2900,NA,3400,NA,2100,NA,NA,NA,NA,NA,NA,2425,NA,4154,NA,NA,NA,NA,10000,NA,2250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13725,NA,8400,7950,NA,NA,NA,2600,NA,6100,NA,NA,NA,4350,NA,NA,NA,NA,NA
"5",2010-05-31,6798,6500,8100,2800,8995,NA,2000,NA,NA,10000,NA,NA,NA,NA,2075,NA,NA,NA,NA,NA,NA,NA,NA,NA,2200,NA,3300,NA,NA,NA,NA,NA,NA,NA,NA,3400,NA,1750,6300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1750,NA,NA,2500,NA,NA,NA,NA,NA,2400,NA,NA,2690,NA,NA,4300,NA,NA,NA,5948,NA,12000,NA,NA,NA,NA,NA,3173,NA,NA,NA,NA,NA,4998,NA,NA,9000,NA,2998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3300,6800,NA,NA,NA,NA,NA,NA,NA,6095,7500,3500,4578,NA,NA,NA,NA,NA,NA,NA,NA,NA,3600,NA,NA,3950,2475,NA,5895,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA,NA,NA,NA,4750,NA,1800,NA,NA,NA,NA,NA,NA,2300,NA,NA,NA,NA,NA,NA,8998,NA,2050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15000,NA,8100,8995,NA,NA,NA,2500,NA,13500,NA,NA,NA,4150,NA,NA,NA,NA,NA
"6",2010-06-30,6000,7125,7725,2600,8500,NA,2150,NA,NA,10000,NA,NA,NA,NA,2050,NA,NA,NA,NA,NA,NA,NA,NA,NA,2200,NA,3400,6250,NA,NA,NA,NA,NA,NA,NA,3000,NA,1750,6300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1750,NA,NA,2400,NA,NA,NA,NA,NA,2150,NA,NA,2523,NA,NA,4390,NA,NA,NA,5895,NA,16000,NA,NA,NA,NA,NA,4395,NA,NA,NA,NA,NA,4948,NA,NA,8650,NA,2448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3500,6195,NA,NA,NA,NA,NA,NA,NA,10900,7775,NA,4125,NA,NA,NA,NA,NA,NA,NA,NA,NA,3500,NA,NA,4945,2600,NA,5398,NA,NA,NA,NA,4400,NA,NA,NA,NA,NA,NA,3950,NA,4250,NA,1873,NA,NA,NA,NA,NA,NA,2400,NA,NA,NA,NA,NA,NA,11500,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15000,NA,7725,8500,NA,NA,NA,2500,NA,14500,NA,NA,NA,3550,NA,NA,NA,NA,NA
"7",2010-07-31,6000,7500,7500,2600,7225,NA,NA,NA,NA,12000,NA,NA,NA,NA,2100,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999,NA,3500,6500,NA,NA,NA,NA,NA,NA,NA,2800,NA,1750,6300,NA,NA,NA,NA,3795,NA,NA,NA,NA,NA,NA,1750,NA,NA,NA,NA,NA,NA,NA,NA,2100,NA,2450,2750,NA,NA,3898,NA,NA,NA,5895,NA,11200,NA,NA,NA,NA,NA,3800,NA,NA,NA,NA,NA,4600,NA,NA,12000,NA,2548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5425,NA,NA,NA,3848,6000,NA,NA,NA,NA,NA,NA,NA,14125,7850,NA,4138,NA,NA,3550,NA,NA,NA,NA,NA,NA,3800,NA,NA,4300,2450,NA,5300,NA,NA,NA,NA,4000,NA,NA,NA,NA,NA,NA,3500,NA,3825,NA,1750,NA,NA,NA,NA,NA,NA,2550,NA,NA,NA,NA,NA,NA,12000,NA,2500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15000,NA,7500,7225,NA,NA,NA,2548,NA,13500,NA,NA,NA,4300,NA,NA,NA,NA,NA
"8",2010-08-31,6000,7500,7100,2700,7500,NA,NA,NA,NA,11700,NA,NA,NA,NA,1900,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999,NA,3350,7900,NA,NA,NA,NA,NA,NA,NA,2700,NA,1750,7500,NA,NA,NA,NA,3650,NA,NA,NA,NA,NA,NA,1750,NA,NA,2100,NA,NA,NA,NA,NA,1950,NA,2450,2765,NA,NA,4195,NA,NA,NA,5215,NA,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4745,NA,NA,10500,NA,2648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5425,NA,NA,NA,3800,6200,NA,NA,NA,NA,NA,NA,NA,9400,7500,8150,3600,NA,NA,NA,NA,NA,NA,NA,NA,NA,3800,NA,NA,3995,NA,NA,5283,NA,NA,NA,NA,3750,NA,NA,NA,NA,NA,NA,2900,NA,3450,NA,1750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13500,NA,2350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15000,NA,7100,7500,NA,NA,NA,2595,NA,13500,NA,NA,NA,4023,NA,NA,NA,NA,NA
"9",2010-09-30,8300,7650,7648,2700,8000,NA,NA,NA,NA,10000,NA,NA,NA,NA,1900,NA,NA,NA,NA,NA,NA,NA,NA,NA,2300,NA,3500,8200,NA,NA,NA,NA,NA,NA,NA,2975,NA,1750,7500,NA,NA,NA,NA,3300,NA,NA,NA,NA,NA,NA,1750,NA,NA,NA,NA,NA,NA,NA,NA,1950,NA,2450,2750,NA,NA,4550,NA,NA,NA,5183,NA,14500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7000,NA,NA,11000,NA,2400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4400,7500,NA,NA,NA,NA,NA,NA,NA,7700,7500,NA,4200,NA,NA,NA,NA,NA,NA,NA,NA,NA,4750,NA,NA,4000,NA,NA,5995,NA,NA,NA,NA,4500,NA,NA,NA,NA,NA,NA,NA,NA,4000,NA,1750,NA,NA,NA,NA,NA,NA,3500,NA,NA,NA,NA,NA,NA,13000,NA,2250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15000,NA,7648,8000,NA,NA,NA,2448,NA,14500,NA,NA,NA,5200,NA,NA,NA,NA,NA
"10",2010-10-31,7998,7995,7825,2600,8448,NA,NA,NA,NA,10000,NA,NA,NA,NA,1900,NA,NA,NA,NA,NA,NA,NA,NA,NA,2300,NA,3500,7200,NA,NA,NA,NA,NA,NA,NA,2800,NA,1750,7300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1750,NA,NA,NA,NA,NA,NA,NA,NA,1950,NA,NA,2595,NA,NA,4500,NA,NA,NA,5300,NA,11200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7500,NA,NA,9000,NA,2400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4950,NA,NA,NA,NA,7000,NA,NA,NA,NA,NA,NA,NA,8250,8500,7800,4523,NA,NA,NA,NA,NA,NA,NA,NA,NA,4450,NA,NA,4300,NA,NA,5800,NA,NA,NA,NA,4500,NA,NA,NA,NA,NA,NA,NA,NA,4050,NA,1750,NA,NA,NA,NA,NA,NA,3000,NA,NA,NA,NA,NA,NA,14500,NA,2195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15625,NA,7825,8448,NA,NA,NA,2300,NA,14475,NA,NA,NA,5050,NA,NA,NA,NA,NA
