"","Date","All Downtown","All Midtown","All Upper East Side","All Upper Manhattan","All Upper West Side","Alley Park","Astoria","Auburndale","Bath Beach","Battery Park City","Bay Ridge","Baychester","Bayside","Bedford Park","Bedford-Stuyvesant","Bellerose","Belmont","Bensonhurst","Bergen Beach","Boerum Hill","Borough Park","Bowne Park","Briarwood","Brighton Beach","Bronx","Bronxwood","Brooklyn","Brooklyn Heights","Brookville","Brownsville","Bushwick","Cambria Heights","Canarsie","Carroll Gardens","Castle Hill","Central Harlem","Central Park South","Central Queens","Chelsea","Chinatown","City Island","Civic Center","Clearview","Clinton Hill","Co-op City","Cobble Hill","College Point","Columbia St Waterfront District","Concourse","Coney Island","Corona","Country Club","Crotona Park East","Crown Heights","Ditmas Park","Douglaston","Downtown Brooklyn","DUMBO","Dyker Heights","East Brooklyn","East Elmhurst","East Flatbush","East Harlem","East New York","East Tremont","East Village","Eastchester","Edenwald","Elmhurst","Financial District","Flatbush","Flatiron","Flatlands","Floral Park","Flushing","Fordham","Forest Hills","Fort Greene","Fresh Meadows","Gerritsen Beach","Glen Oaks","Glendale","Gowanus","Gramercy Park","Gravesend","Greenpoint","Greenwich Village","Greenwood","Hamilton Heights","Highbridge","Hillcrest","Hollis","Howard Beach","Hunts Point","Inwood","Jackson Heights","Jamaica","Jamaica Estates","Jamaica Hills","Kensington","Kew Gardens","Kew Gardens Hills","Kingsbridge","Laconia","Laurelton","Little Italy","Little Neck","Long Island City","Longwood","Lower East Side","Manhattan","Manhattan Beach","Manhattanville","Marble Hill","Marine Park","Maspeth","Melrose","Middle Village","Midtown","Midtown East","Midtown South","Midtown West","Midwood","Mill Basin","Morningside Heights","Morris Heights","Morris Park","Morrisania","Mott Haven","New Hyde Park","Nolita","North Brooklyn","North Corona","Northeast Queens","Northwest Brooklyn","Northwest Queens","Norwood","NYC","Oakland Gardens","Ocean Parkway","Old Mill Basin","Ozone Park","Park Slope","Parkchester","Pelham Bay","Pelham Gardens","Pelham Parkway","Pomonok","Port Morris","Prospect Heights","Prospect Lefferts Gardens","Prospect Park","Prospect Park South","Queens","Queens Village","Queensboro Hill","Red Hook","Rego Park","Richmond Hill","Ridgewood","Riverdale","Rockaway All","Roosevelt Island","Rosedale","Schuylerville","Seagate","Sheepshead Bay","Soho","Soundview","South Brooklyn","South Jamaica","South Ozone Park","South Queens","South Richmond Hill","Springfield Gardens","St. Albans","Staten Island","Stuyvesant Town/PCV","Sunnyside","Sunset Park","The Rockaways","Throgs Neck","Tremont","Tribeca","University Heights","Upper East Side","Upper West Side","Utopia","Van Nest","Wakefield","Washington Heights","West Harlem","West Village","Westchester Village","Whitestone","Williamsbridge","Williamsburg","Windsor Terrace","Woodhaven","Woodlawn","Woodside","Woodstock"
"1",2010-01-31,4400,4700,3500,2000,4200,NA,1700,NA,NA,4615,1600,NA,NA,NA,1675,NA,NA,NA,NA,3000,NA,NA,NA,NA,2100,NA,2374,3850,NA,NA,NA,NA,NA,2300,NA,2100,11500,2000,4900,NA,NA,NA,NA,2240,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,2400,4348,NA,1700,NA,NA,2000,NA,NA,2900,NA,NA,NA,4375,NA,5800,NA,NA,NA,NA,2100,2800,NA,NA,NA,NA,NA,3695,NA,2750,4500,1950,1900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4100,NA,3150,NA,2625,4000,NA,NA,NA,NA,NA,NA,NA,5998,4473,5548,4050,NA,NA,2175,NA,NA,NA,NA,NA,3750,2750,NA,1650,2600,2065,NA,3500,NA,NA,NA,NA,2350,NA,NA,NA,NA,NA,NA,2988,NA,2300,NA,1950,NA,NA,NA,NA,NA,NA,2300,NA,NA,NA,NA,NA,NA,6900,NA,1650,NA,NA,NA,NA,NA,NA,NA,NA,1980,1550,NA,NA,NA,8000,NA,3500,4200,NA,NA,NA,1585,NA,4500,NA,NA,NA,2725,NA,NA,NA,NA,NA
"2",2010-02-28,4450,4500,3650,1985,4100,NA,1800,NA,NA,4888,1675,NA,NA,NA,1650,NA,NA,NA,NA,3000,NA,NA,NA,NA,2100,NA,2354,3900,NA,NA,NA,NA,NA,2275,NA,2100,10000,1800,5500,NA,NA,NA,NA,2240,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,2400,4650,NA,1700,NA,NA,2100,NA,NA,2975,NA,NA,NA,4475,NA,5450,NA,NA,NA,NA,2100,2675,NA,NA,NA,NA,NA,3550,NA,2625,4300,1750,1900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3625,NA,3125,NA,2698,3995,NA,NA,NA,NA,NA,NA,NA,5970,4200,5900,4033,NA,NA,2150,NA,NA,NA,NA,NA,3595,2700,NA,1713,2573,2100,NA,3500,NA,NA,NA,NA,2350,NA,NA,NA,NA,NA,NA,2935,NA,2300,NA,2000,NA,NA,NA,NA,NA,NA,2300,NA,NA,NA,NA,NA,NA,6950,NA,1600,NA,NA,NA,NA,NA,NA,NA,NA,1940,1550,NA,NA,NA,7850,NA,3650,4100,NA,NA,NA,1597,NA,4850,NA,NA,NA,2775,NA,NA,NA,NA,NA
"3",2010-03-31,4400,4500,3800,1950,4100,NA,1800,NA,NA,4600,1625,NA,NA,NA,1600,NA,NA,NA,NA,2999,NA,NA,NA,NA,2000,NA,2306,5500,NA,NA,NA,NA,NA,2300,NA,2000,10000,1950,5500,NA,NA,NA,NA,2125,NA,NA,NA,NA,NA,NA,NA,NA,NA,1950,NA,NA,2476,3400,NA,1650,NA,NA,2195,NA,NA,2995,NA,NA,NA,4050,NA,5950,NA,NA,NA,NA,2100,2400,NA,NA,NA,NA,NA,3663,NA,2350,4195,NA,1700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2999,NA,3100,NA,2600,4000,NA,NA,NA,NA,NA,NA,NA,5900,4125,6000,3850,NA,NA,1975,NA,NA,NA,NA,NA,3700,2750,NA,1700,2550,2200,NA,3500,NA,NA,NA,NA,2400,NA,NA,NA,NA,NA,NA,2895,NA,2300,NA,2000,NA,NA,NA,NA,NA,NA,2200,NA,2961,NA,NA,NA,NA,7000,NA,1600,NA,NA,NA,NA,NA,NA,NA,NA,1800,1575,NA,NA,NA,7500,NA,3800,4100,NA,NA,NA,1675,NA,4800,NA,NA,NA,2800,NA,NA,NA,NA,NA
"4",2010-04-30,4400,4495,3950,1950,4498,NA,1875,NA,NA,4975,1550,NA,NA,NA,1650,NA,NA,NA,NA,2600,NA,NA,NA,NA,1950,NA,2300,4000,NA,NA,1645,NA,NA,2300,NA,2000,11000,2000,5495,NA,NA,NA,NA,2125,NA,3245,NA,NA,NA,NA,NA,NA,NA,1888,NA,NA,2400,4198,NA,1700,NA,NA,2195,NA,NA,2900,NA,NA,NA,4300,NA,5495,NA,NA,NA,NA,2100,2500,NA,NA,NA,NA,NA,3900,NA,2150,4150,NA,1800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3150,NA,3023,NA,2600,4100,NA,NA,NA,NA,NA,NA,NA,5775,4100,6000,3902,NA,NA,1975,NA,NA,NA,NA,NA,3698,2900,NA,1550,2600,2200,NA,3500,NA,NA,NA,NA,2500,NA,NA,NA,NA,NA,NA,2150,NA,2300,NA,2083,NA,NA,NA,NA,NA,NA,2200,NA,2959,NA,NA,NA,NA,6500,NA,1595,NA,NA,NA,NA,NA,NA,NA,NA,1800,1500,NA,NA,NA,8125,NA,3950,4498,NA,NA,NA,1700,NA,4900,NA,NA,NA,3000,NA,NA,NA,2100,NA
"5",2010-05-31,4400,4500,3965,1975,4500,NA,1950,NA,NA,5125,NA,NA,NA,NA,1700,NA,NA,NA,NA,NA,NA,NA,NA,NA,1950,NA,2406,4000,NA,NA,1575,NA,NA,2300,NA,2000,11000,1550,5473,2250,NA,NA,NA,2350,NA,3350,NA,NA,NA,NA,1550,NA,NA,1885,NA,NA,2488,4198,NA,1700,NA,NA,2125,NA,NA,2800,NA,NA,NA,4500,NA,6500,NA,NA,NA,NA,2050,2700,NA,NA,NA,NA,NA,3998,NA,2450,4000,1800,1900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4475,NA,3148,NA,2600,4200,NA,NA,NA,NA,NA,NA,NA,5750,4450,6000,4060,NA,NA,2295,NA,NA,NA,NA,NA,3895,2900,NA,1650,2725,2100,NA,3570,NA,NA,NA,NA,2500,NA,NA,NA,NA,NA,NA,2200,NA,2473,NA,1825,NA,NA,NA,NA,NA,NA,2100,NA,3150,NA,NA,NA,NA,6500,NA,1700,NA,NA,NA,NA,NA,NA,NA,NA,1650,1550,NA,NA,NA,8000,NA,3965,4500,NA,NA,NA,1798,NA,4500,NA,NA,NA,3000,NA,NA,NA,NA,NA
"6",2010-06-30,4295,4500,3900,1975,4500,NA,1907,NA,NA,5823,1650,NA,NA,NA,1600,NA,NA,NA,NA,3163,NA,NA,NA,NA,1998,NA,2500,4400,NA,NA,NA,NA,NA,2375,NA,2000,11000,1550,5498,2200,NA,NA,NA,2150,NA,NA,NA,NA,NA,NA,1550,NA,NA,1838,NA,NA,2881,4350,NA,1650,NA,NA,2125,NA,NA,2800,NA,NA,NA,4358,NA,6500,NA,NA,NA,NA,2100,2750,NA,NA,NA,NA,NA,4000,NA,2300,4500,1800,1775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4450,NA,3500,NA,2600,4000,NA,NA,NA,NA,NA,NA,NA,5750,4200,6000,4200,NA,NA,2156,NA,NA,NA,NA,NA,3800,2900,NA,1675,2800,2200,NA,3550,NA,NA,NA,NA,2500,NA,NA,NA,NA,NA,NA,2400,NA,2500,NA,1800,NA,NA,NA,NA,NA,NA,2450,NA,3462,NA,NA,NA,NA,5350,NA,1700,NA,NA,NA,NA,NA,NA,NA,NA,1623,NA,NA,NA,NA,8500,NA,3900,4500,NA,NA,NA,1750,NA,4295,NA,NA,NA,3214,NA,NA,NA,NA,NA
"7",2010-07-31,4295,4495,3800,2000,3995,NA,1875,NA,NA,5595,1575,NA,NA,NA,1600,NA,NA,NA,NA,3163,NA,NA,NA,NA,1975,NA,2550,3550,NA,NA,NA,NA,NA,2500,NA,1998,12000,1550,4723,2250,NA,NA,NA,2000,NA,2700,NA,NA,NA,NA,1550,NA,NA,1838,NA,NA,2893,4200,NA,1600,NA,NA,2398,NA,NA,2800,NA,NA,NA,4695,NA,5825,NA,NA,NA,NA,2050,2900,NA,NA,NA,NA,NA,4000,NA,2550,4500,NA,2198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2788,NA,3700,NA,2650,4000,NA,NA,NA,NA,NA,NA,NA,5925,4300,5995,4295,NA,NA,2100,NA,NA,NA,NA,NA,3995,2995,NA,1700,2900,2400,NA,3595,NA,NA,NA,NA,2500,NA,NA,NA,NA,NA,NA,2575,NA,2448,NA,1775,NA,NA,NA,NA,NA,NA,2500,NA,3277,NA,NA,NA,NA,4750,NA,1600,NA,NA,NA,NA,NA,NA,NA,NA,1650,NA,NA,NA,NA,8000,NA,3800,3995,NA,NA,NA,1858,NA,4250,NA,NA,NA,3100,NA,NA,NA,NA,NA
"8",2010-08-31,4500,4500,3700,2000,4000,NA,2000,NA,NA,5445,NA,NA,NA,NA,1525,NA,NA,NA,NA,3000,NA,NA,NA,NA,2200,NA,2550,3500,NA,NA,NA,NA,NA,2450,NA,1975,11000,1550,5208,NA,NA,NA,NA,2150,NA,2600,NA,NA,NA,NA,1550,NA,NA,1500,NA,NA,3200,4498,NA,1500,NA,NA,2395,NA,NA,2950,NA,NA,NA,4600,NA,5950,NA,NA,NA,NA,2100,3050,NA,NA,NA,NA,NA,5248,NA,2600,4500,NA,2200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3950,NA,3630,NA,2825,4045,NA,NA,NA,NA,NA,NA,NA,5673,4300,5808,4493,NA,NA,2200,NA,NA,NA,NA,NA,3798,3195,NA,1675,2975,2500,NA,3600,NA,NA,NA,NA,2500,NA,NA,NA,NA,NA,NA,2675,NA,2450,NA,1800,NA,NA,NA,NA,NA,NA,2750,NA,3289,NA,NA,NA,NA,7500,NA,1595,NA,NA,NA,NA,NA,NA,NA,NA,1650,NA,NA,NA,NA,7950,NA,3700,4000,NA,NA,NA,1869,NA,4098,NA,NA,NA,3275,NA,NA,NA,NA,NA
"9",2010-09-30,5000,4666,3795,2000,4250,NA,1798,NA,NA,5500,1575,NA,NA,NA,1525,NA,NA,NA,NA,3000,NA,NA,NA,NA,1800,NA,2695,3650,NA,NA,NA,NA,NA,2600,NA,1995,12500,1575,5500,3500,NA,NA,NA,2500,NA,NA,NA,NA,NA,NA,1550,NA,NA,1500,NA,NA,3369,4500,NA,1500,NA,NA,2400,NA,NA,3495,NA,NA,NA,4676,NA,5995,NA,NA,NA,NA,2100,2900,NA,NA,NA,NA,NA,6000,NA,2775,5175,NA,2100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5350,NA,3700,NA,2995,4300,NA,NA,NA,NA,NA,NA,NA,5625,4400,5665,4490,NA,NA,NA,NA,NA,NA,NA,NA,4000,3225,NA,1700,3095,3095,NA,3800,NA,NA,NA,NA,2650,NA,NA,NA,NA,NA,NA,NA,NA,2600,NA,1898,NA,NA,NA,NA,NA,NA,2250,NA,3239,NA,NA,NA,NA,8000,NA,1650,NA,NA,NA,NA,NA,NA,NA,NA,1600,NA,NA,NA,NA,7750,NA,3795,4250,NA,NA,NA,1858,NA,4000,NA,NA,NA,3300,NA,NA,NA,NA,NA
"10",2010-10-31,5200,4800,3795,2000,4300,NA,1898,NA,NA,5400,1600,NA,NA,NA,1650,NA,NA,NA,NA,NA,NA,NA,NA,NA,1550,NA,2650,3750,NA,NA,NA,NA,NA,NA,NA,2000,11250,1550,5863,2300,NA,NA,NA,2500,NA,3425,NA,NA,NA,NA,1550,NA,NA,1575,NA,NA,3050,4398,NA,1600,NA,NA,2398,NA,NA,3075,NA,NA,NA,4500,NA,5998,NA,NA,NA,NA,2075,3025,NA,NA,NA,NA,NA,4050,NA,3100,6540,NA,2063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4800,NA,3600,NA,2700,4300,NA,NA,NA,NA,NA,NA,NA,5500,4563,5200,4490,NA,NA,2595,NA,NA,NA,NA,NA,4723,3250,NA,1800,3061,2500,NA,3795,NA,NA,NA,NA,2675,NA,NA,NA,NA,NA,NA,NA,NA,2550,NA,1800,NA,NA,NA,NA,NA,NA,2000,NA,3300,NA,NA,NA,NA,8125,NA,1600,NA,NA,NA,NA,NA,NA,NA,NA,1700,NA,NA,NA,NA,7750,NA,3795,4300,NA,NA,NA,1847,NA,4298,NA,NA,NA,3412,2400,NA,NA,NA,NA
