"","the_geom","OBJECTID","Name","Stacked","AnnoLine1","AnnoLine2","AnnoLine3","AnnoAngle","Borough","Longitude","Latitude","LatLong"
"1","POINT (-73.8472005205491 40.89470517661004)",1,"Wakefield",1,"Wakefield",NA,NA,0,"Bronx",-73.8472005205491,40.89470517661,"-73.8472005205491, 40.89470517661004"
"2","POINT (-73.82993910812405 40.87429419303015)",2,"Co-op City",2,"Co-op","City",NA,0,"Bronx",-73.8299391081241,40.8742941930302,"-73.82993910812405, 40.87429419303015"
"3","POINT (-73.82780644716419 40.88755567735082)",3,"Eastchester",1,"Eastchester",NA,NA,0,"Bronx",-73.8278064471642,40.8875556773508,"-73.82780644716419, 40.88755567735082"
"4","POINT (-73.90564259591689 40.895437426903875)",4,"Fieldston",1,"Fieldston",NA,NA,0,"Bronx",-73.9056425959169,40.8954374269039,"-73.90564259591689, 40.895437426903875"
"5","POINT (-73.91258546108577 40.89083449389134)",5,"Riverdale",1,"Riverdale",NA,NA,0,"Bronx",-73.9125854610858,40.8908344938913,"-73.91258546108577, 40.89083449389134"
"6","POINT (-73.90281798724611 40.88168737120525)",6,"Kingsbridge",1,"Kingsbridge",NA,NA,0,"Bronx",-73.9028179872461,40.8816873712053,"-73.90281798724611, 40.88168737120525"
"7","POINT (-73.91065965862988 40.87655077879968)",7,"Marble Hill",2,"Marble","Hill",NA,0,"Manhattan",-73.9106596586299,40.8765507787997,"-73.91065965862988, 40.87655077879968"
"8","POINT (-73.86731496814183 40.898272612138086)",8,"Woodlawn",1,"Woodlawn",NA,NA,0,"Bronx",-73.8673149681418,40.8982726121381,"-73.86731496814183, 40.898272612138086"
"9","POINT (-73.87939073956817 40.877224155994504)",9,"Norwood",1,"Norwood",NA,NA,0,"Bronx",-73.8793907395682,40.8772241559945,"-73.87939073956817, 40.877224155994504"
"10","POINT (-73.85744642974214 40.88103887819214)",10,"Williamsbridge",1,"Williamsbridge",NA,NA,0,"Bronx",-73.8574464297421,40.8810388781921,"-73.85744642974214, 40.88103887819214"
"11","POINT (-73.83579759808124 40.86685810725274)",11,"Baychester",1,"Baychester",NA,NA,0,"Bronx",-73.8357975980812,40.8668581072527,"-73.83579759808124, 40.86685810725274"
"12","POINT (-73.85475564018006 40.85741349808869)",12,"Pelham Parkway",1,"Pelham Parkway",NA,NA,0,"Bronx",-73.8547556401801,40.8574134980887,"-73.85475564018006, 40.85741349808869"
"13","POINT (-73.7864884526742 40.84724670491817)",13,"City Island",2,"City","Island",NA,0,"Bronx",-73.7864884526742,40.8472467049182,"-73.7864884526742, 40.84724670491817"
"14","POINT (-73.88551218419137 40.87018516497537)",14,"Bedford Park",2,"Bedford","Park",NA,0,"Bronx",-73.8855121841914,40.8701851649754,"-73.88551218419137, 40.87018516497537"
"15","POINT (-73.91041596191317 40.85572707719668)",15,"University Heights",2,"University","Heights",NA,0,"Bronx",-73.9104159619132,40.8557270771967,"-73.91041596191317, 40.85572707719668"
"16","POINT (-73.91967159119572 40.84789792606274)",16,"Morris Heights",2,"Morris","Heights",NA,0,"Bronx",-73.9196715911957,40.8478979260627,"-73.91967159119572, 40.84789792606274"
"17","POINT (-73.8964265598163 40.86099679638657)",17,"Fordham",1,"Fordham",NA,NA,0,"Bronx",-73.8964265598163,40.8609967963866,"-73.8964265598163, 40.86099679638657"
"18","POINT (-73.88735617532345 40.84269615786057)",18,"East Tremont",2,"East","Tremont",NA,0,"Bronx",-73.8873561753234,40.8426961578606,"-73.88735617532345, 40.84269615786057"
"19","POINT (-73.87774474910552 40.83947505672657)",19,"West Farms",2,"West","Farms",NA,0,"Bronx",-73.8777447491055,40.8394750567266,"-73.87774474910552, 40.83947505672657"
"20","POINT (-73.92610209358138 40.8366230107061)",20,"High  Bridge",2,"High","Bridge",NA,0,"Bronx",-73.9261020935814,40.8366230107061,"-73.92610209358138, 40.8366230107061"
